Year,Growth Rate(Regional),Popularity,Cloud Market cap,place,Vendor,Market cap,Market ratio
2016,,25,0.95999999999999996,India,Azure,,11
2017,,32,1.4099999999999999,India,Azure,,12.699999999999999
2018,,27,1.79,India,Azure,,16.5
2019,,52,2.2999999999999998,India,Azure,,18
2020,,49,2.8300000000000001,India,Azure,,20
2021,,70,3.6400000000000001,India,Azure,,22
2016,,25,55.850000000000001,USA,Azure,,11
2017,,35,74.730000000000004,USA,Azure,,12.699999999999999
2018,,37,95.150000000000006,USA,Azure,,16.5
2019,,47,116.59999999999999,USA,Azure,,18
2020,,48,142.30000000000001,USA,Azure,32.728999999999999,20
2021,20.100000000000001,60,170.90000000000001,USA,Azure,39.307000000000002,22
2016,,43,4.9199999999999999,United kingdom,Azure,,11
2017,,47,6.3700000000000001,United kingdom,Azure,0.20999999999999999,12.699999999999999
2018,66,58,8.2699999999999996,United kingdom,Azure,0.34000000000000002,16.5
2019,,66,9.7200000000000006,United kingdom,Azure,,18
2020,,63,11.59,United kingdom,Azure,,20
2021,,76,14.49,United kingdom,Azure,,22
2016,,26,4.0899999999999999,Germany,Azure,,11
2017,,37,5.8200000000000003,Germany,Azure,,12.699999999999999
2018,,40,7.8300000000000001,Germany,Azure,,16.5
2019,,56,9.2599999999999998,Germany,Azure,,18
2020,,57,11.57,Germany,Azure,,20
2021,,83,14.67,Germany,Azure,,22
2016,,13,2.8300000000000001,Japan,Azure,,11
2017,,18,4.0700000000000003,Japan,Azure,,12.699999999999999
2018,,16,5.5800000000000001,Japan,Azure,,16.5
2019,,23,7.3200000000000003,Japan,Azure,,18
2020,,24,9.7100000000000009,Japan,Azure,,20
2021,,25,12.220000000000001,Japan,Azure,3.2138599999999999,22
2016,,40,1.48,Australia,Azure,,11
2017,,40,2.1600000000000001,Australia,Azure,,12.699999999999999
2018,,49,2.79,Australia,Azure,,16.5
2019,,65,3.3500000000000001,Australia,Azure,,18
2020,,60,4.21,Australia,Azure,,20
2021,,71,5.6699999999999999,Australia,Azure,,22
2016,,33,2.6899999999999999,Canada,Azure,,11
2017,,41,3.6000000000000001,Canada,Azure,,12.699999999999999
2018,,56,4.46,Canada,Azure,9.6999999999999993,16.5
2019,65,68,5.2000000000000002,Canada,Azure,16,18
2020,,72,6.1100000000000003,Canada,Azure,,20
2021,,85,7.4800000000000004,Canada,Azure,,22
2016,,29,2.1099999999999999,France,Azure,,11
2017,,40,3.0899999999999999,France,Azure,,12.699999999999999
2018,,47,4.3200000000000003,France,Azure,,16.5
2019,,61,5.2400000000000002,France,Azure,,18
2020,,60,6.5800000000000001,France,Azure,,20
2021,,75,8.5999999999999996,France,Azure,,22
2016,,37,1.1299999999999999,Italy,Azure,,11
2017,,38,1.6599999999999999,Italy,Azure,,12.699999999999999
2018,,42,2.3500000000000001,Italy,Azure,,16.5
2019,,44,2.8900000000000001,Italy,Azure,,18
2020,,50,3.7000000000000002,Italy,Azure,,20
2021,,70,4.9500000000000002,Italy,Azure,,22
2016,,34,1.1100000000000001,Spain,Azure,,11
2017,,38,1.53,Spain,Azure,,12.699999999999999
2018,,46,2.0600000000000001,Spain,Azure,,16.5
2019,,53,2.52,Spain,Azure,,18
2020,,59,3.0800000000000001,Spain,Azure,,20
2021,,79,4.0899999999999999,Spain,Azure,,22
2016,,30,1.02,Switzerland,Azure,,11
2017,,41,1.48,Switzerland,Azure,,12.699999999999999
2018,,50,2.04,Switzerland,Azure,,16.5
2019,,67,2.5699999999999998,Switzerland,Azure,,18
2020,,65,3.4900000000000002,Switzerland,Azure,,20
2021,,100,4.5199999999999996,Switzerland,Azure,,22
2016,,8,0.95999999999999996,South Korea,Azure,,11
2017,,11,1.49,South Korea,Azure,,12.699999999999999
2018,,13,2.1000000000000001,South Korea,Azure,,16.5
2019,,19,2.5499999999999998,South Korea,Azure,,18
2020,,18,3.4100000000000001,South Korea,Azure,,20
2021,,20,4.5099999999999998,South Korea,Azure,,22
2016,,29,0.94999999999999996,Netherlands,Azure,,11
2017,,32,1.48,Netherlands,Azure,,12.699999999999999
2018,,41,2.1800000000000002,Netherlands,Azure,,16.5
2019,,60,2.75,Netherlands,Azure,,18
2020,,59,3.6899999999999999,Netherlands,Azure,,20
2021,,90,4.8499999999999996,Netherlands,Azure,,22
2016,,49,0.87,Sweden,Azure,,11
2017,,45,1.25,Sweden,Azure,,12.699999999999999
2018,,56,1.6399999999999999,Sweden,Azure,,16.5
2019,,57,1.95,Sweden,Azure,,18
2020,,64,2.5600000000000001,Sweden,Azure,,20
2021,,82,3.4399999999999999,Sweden,Azure,,22
2016,,33,0.67000000000000004,Brazil,Azure,,11
2017,,36,1.1000000000000001,Brazil,Azure,,12.699999999999999
2018,,44,1.3799999999999999,Brazil,Azure,,16.5
2019,,54,1.77,Brazil,Azure,,18
2020,,49,1.8799999999999999,Brazil,Azure,,20
2021,,71,2.3599999999999999,Brazil,Azure,,22
2016,,34,0.52000000000000002,Finland,Azure,,11
2017,,40,0.75,Finland,Azure,,12.699999999999999
2018,,56,1.04,Finland,Azure,,16.5
2019,,65,1.26,Finland,Azure,,18
2020,,57,1.6499999999999999,Finland,Azure,,20
2021,,89,2.1200000000000001,Finland,Azure,,22
2016,,26,0.51000000000000001,Denmark,Azure,,11
2017,,37,0.75,Denmark,Azure,,12.699999999999999
2018,,39,1.05,Denmark,Azure,,16.5
2019,,57,1.28,Denmark,Azure,,18
2020,,63,1.7,Denmark,Azure,,20
2021,,78,2.2200000000000002,Denmark,Azure,,22
2016,,25,0.51000000000000001,Singapore,Azure,,11
2017,,26,0.73999999999999999,Singapore,Azure,,12.699999999999999
2018,,30,1.05,Singapore,Azure,,16.5
2019,,35,1.3799999999999999,Singapore,Azure,,18
2020,,40,1.75,Singapore,Azure,,20
2021,,46,2.3599999999999999,Singapore,Azure,,22
2016,,30,0.45000000000000001,Norway,Azure,,11
2017,,39,0.66000000000000003,Norway,Azure,,12.699999999999999
2018,,48,0.90000000000000002,Norway,Azure,,16.5
2019,,55,1.03,Norway,Azure,,18
2020,,61,1.21,Norway,Azure,,20
2021,,74,1.7,Norway,Azure,,22
